Div,Date,HomeTeam,AwayTeam,HTR,HTTeam,HTPoints,HTWins,HTDraws,HTLooses,HTHomeWins,HTHomeDraws,HTHomeLooses,HTAwayWins,HTAwayDraws,HTAwayLooses,HTGoals,HTGoalsAgainst,HTHomeGoals,HTAwayGoals,HTHomeGoalsAgainst,HTAwayGoalsAgainst,HTPosition,HTShoots,HTShootsAgainst,HTHomeShoots,HTAwayShoots,HTHomeShootsAgainst,HTAwayShootsAgainst,HTShootsOnTarget,HTShootsAgainstOnTarget,HTHomeShootsOnTarget,HTAwayShootsOnTarget,HTHomeShootsAgainstOnTarget,HTAwayShootsAgainstOnTarget,HTShootsHitWoodwork,HTShootsAgainstHitWoodwork,HTHomeShootsHitWoodwork,HTAwayShootsHitWoodwork,HTHomeShootsAgainstHitWoodwork,HTAwayShootsAgainstHitWoodwork,HTCorners,HTCornersAgainst,HTHomeCorners,HTAwayCorners,HTHomeCornersAgainst,HTAwayCornersAgainst,HTFouls,HTFoulsReceived,HTHomeFouls,HTAwayFouls,HTHomeFoulsReceived,HTAwayFoulsReceived,HTOffsides,HTOffsidesAgainst,HTHomeOffsides,HTAwayOffsides,HTHomeOffsidesAgainst,HTAwayOffsidesAgainst,HTYellowCards,HTYellowCardsAgainst,HTHomeYellowCards,HTAwayYellowCards,HTHomeYellowCardsAgainst,HTAwayYellowCardsAgainst,HTRedCards,HTRedCardsAgainst,HTHomeRedCards,HTAwayRedCards,HTHomeRedCardsAgainst,HTAwayRedCardsAgainst,ATTeam,ATPoints,ATWins,ATDraws,ATLooses,ATHomeWins,ATHomeDraws,ATHomeLooses,ATAwayWins,ATAwayDraws,ATAwayLooses,ATGoals,ATGoalsAgainst,ATHomeGoals,ATAwayGoals,ATHomeGoalsAgainst,ATAwayGoalsAgainst,ATPosition,ATShoots,ATShootsAgainst,ATHomeShoots,ATAwayShoots,ATHomeShootsAgainst,ATAwayShootsAgainst,ATShootsOnTarget,ATShootsAgainstOnTarget,ATHomeShootsOnTarget,ATAwayShootsOnTarget,ATHomeShootsAgainstOnTarget,ATAwayShootsAgainstOnTarget,ATShootsHitWoodwork,ATShootsAgainstHitWoodwork,ATHomeShootsHitWoodwork,ATAwayShootsHitWoodwork,ATHomeShootsAgainstHitWoodwork,ATAwayShootsAgainstHitWoodwork,ATCorners,ATCornersAgainst,ATHomeCorners,ATAwayCorners,ATHomeCornersAgainst,ATAwayCornersAgainst,ATFouls,ATFoulsReceived,ATHomeFouls,ATAwayFouls,ATHomeFoulsReceived,ATAwayFoulsReceived,ATOffsides,ATOffsidesAgainst,ATHomeOffsides,ATAwayOffsides,ATHomeOffsidesAgainst,ATAwayOffsidesAgainst,ATYellowCards,ATYellowCardsAgainst,ATHomeYellowCards,ATAwayYellowCards,ATHomeYellowCardsAgainst,ATAwayYellowCardsAgainst,ATRedCards,ATRedCardsAgainst,ATHomeRedCards,ATAwayRedCards,ATHomeRedCardsAgainst,ATAwayRedCardsAgainst
SP1,19/08/12,Ath Bilbao,Betis,A,Ath Bilbao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Betis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP1,02/09/12,Ath Bilbao,Valladolid,D,Ath Bilbao,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,3.0,0.0,5.0,0.0,14.0,17.0,13.0,17.0,0.0,13.0,0.0,8.0,9.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,11.0,0.0,4.0,0.0,12.0,17.0,12.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Valladolid,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0,11.0,0.0,7.0,0.0,11.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,14.0,17.0,0.0,14.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
SP1,23/09/12,Ath Bilbao,Malaga,D,Ath Bilbao,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,9.0,3.0,0.0,5.0,4.0,17.0,24.0,36.0,17.0,7.0,13.0,23.0,8.0,23.0,8.0,0.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,11.0,4.0,4.0,10.0,25.0,28.0,12.0,13.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Malaga,4.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,34.0,26.0,18.0,16.0,9.0,17.0,6.0,7.0,6.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,12.0,14.0,9.0,4.0,8.0,16.0,25.0,7.0,9.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
SP1,07/10/12,Ath Bilbao,Osasuna,H,Ath Bilbao,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,9.0,5.0,0.0,5.0,4.0,13.0,41.0,44.0,34.0,7.0,21.0,23.0,11.0,24.0,11.0,0.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,18.0,20.0,4.0,8.0,10.0,31.0,35.0,18.0,13.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Osasuna,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,1.0,0.0,2.0,4.0,19.0,35.0,37.0,17.0,18.0,15.0,22.0,5.0,17.0,5.0,3.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,4.0,13.0,7.0,9.0,45.0,30.0,17.0,28.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,6.0,6.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0
SP1,28/10/12,Ath Bilbao,Getafe,A,Ath Bilbao,4.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,8.0,12.0,5.0,3.0,5.0,7.0,12.0,57.0,59.0,34.0,23.0,21.0,38.0,11.0,29.0,11.0,7.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,21.0,20.0,8.0,8.0,13.0,51.0,62.0,18.0,33.0,24.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2.0,8.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,Getafe,4.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,8.0,3.0,2.0,5.0,3.0,13.0,40.0,55.0,17.0,23.0,29.0,26.0,6.0,24.0,6.0,7.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,28.0,4.0,14.0,14.0,14.0,56.0,44.0,26.0,30.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,5.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
SP1,11/11/12,Ath Bilbao,Sevilla,H,Ath Bilbao,5.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,8.0,12.0,5.0,3.0,5.0,7.0,16.0,66.0,71.0,43.0,23.0,33.0,38.0,12.0,33.0,12.0,7.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,28.0,27.0,8.0,15.0,13.0,58.0,68.0,25.0,33.0,30.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,5.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,Sevilla,11.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,6.0,2.0,3.0,3.0,1.0,1.0,5.0,66.0,73.0,26.0,40.0,28.0,45.0,12.0,24.0,12.0,13.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,32.0,11.0,16.0,12.0,20.0,74.0,76.0,36.0,38.0,30.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,7.0,6.0,7.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0
SP1,25/11/12,Ath Bilbao,La Coruna,H,Ath Bilbao,5.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,8.0,14.0,5.0,3.0,5.0,9.0,17.0,73.0,90.0,43.0,30.0,33.0,57.0,12.0,43.0,12.0,8.0,14.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,27.0,13.0,15.0,25.0,73.0,81.0,25.0,48.0,30.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,5.0,11.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,La Coruna,6.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,8.0,12.0,3.0,5.0,3.0,9.0,14.0,66.0,86.0,34.0,32.0,37.0,49.0,12.0,32.0,12.0,15.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,44.0,20.0,15.0,23.0,21.0,65.0,83.0,30.0,35.0,35.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,5.0,8.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
SP1,09/12/12,Ath Bilbao,Celta,H,Ath Bilbao,8.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,9.0,14.0,6.0,3.0,5.0,9.0,15.0,91.0,106.0,61.0,30.0,49.0,57.0,20.0,48.0,20.0,8.0,19.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,41.0,38.0,13.0,16.0,25.0,85.0,90.0,37.0,48.0,39.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0,9.0,11.0,10.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,Celta,9.0,3.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,3.0,9.0,8.0,6.0,3.0,2.0,6.0,13.0,102.0,77.0,54.0,48.0,40.0,37.0,18.0,28.0,18.0,17.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,43.0,19.0,26.0,25.0,18.0,91.0,95.0,46.0,45.0,49.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,9.0,7.0,7.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0
SP1,22/12/12,Ath Bilbao,Zaragoza,A,Ath Bilbao,8.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0,3.0,11.0,17.0,6.0,5.0,5.0,12.0,16.0,98.0,133.0,61.0,37.0,49.0,84.0,20.0,60.0,20.0,11.0,19.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,52.0,38.0,18.0,16.0,36.0,95.0,102.0,37.0,58.0,39.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,21.0,9.0,13.0,10.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,Zaragoza,9.0,3.0,0.0,5.0,1.0,0.0,3.0,2.0,0.0,2.0,7.0,10.0,3.0,4.0,4.0,6.0,15.0,97.0,81.0,44.0,53.0,46.0,35.0,17.0,28.0,17.0,19.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,39.0,23.0,20.0,21.0,18.0,144.0,135.0,77.0,67.0,68.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,32.0,10.0,12.0,13.0,15.0,0.0,0.0,2.0,0.0,1.0,3.0
SP1,11/01/13,Ath Bilbao,Vallecano,D,Ath Bilbao,8.0,2.0,2.0,5.0,2.0,1.0,2.0,0.0,1.0,3.0,12.0,19.0,7.0,5.0,7.0,12.0,16.0,119.0,148.0,82.0,37.0,64.0,84.0,30.0,68.0,30.0,11.0,27.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,55.0,46.0,18.0,19.0,36.0,113.0,117.0,55.0,58.0,54.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,23.0,14.0,13.0,12.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,Vallecano,10.0,3.0,1.0,5.0,2.0,1.0,2.0,1.0,0.0,3.0,11.0,22.0,3.0,8.0,8.0,14.0,14.0,138.0,126.0,74.0,64.0,73.0,53.0,18.0,51.0,18.0,20.0,24.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,45.0,25.0,24.0,23.0,22.0,154.0,121.0,88.0,66.0,63.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,18.0,21.0,15.0,8.0,9.0,0.0,0.0,2.0,1.0,0.0,1.0
SP1,27/01/13,Ath Bilbao,Ath Madrid,D,Ath Bilbao,11.0,3.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0,3.0,14.0,20.0,7.0,7.0,7.0,13.0,14.0,134.0,172.0,82.0,52.0,64.0,108.0,30.0,77.0,30.0,19.0,27.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,61.0,46.0,24.0,19.0,42.0,130.0,134.0,55.0,75.0,54.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,28.0,14.0,17.0,12.0,15.0,0.0,0.0,0.0,2.0,0.0,1.0,Ath Madrid,25.0,8.0,1.0,1.0,5.0,0.0,0.0,3.0,1.0,1.0,22.0,11.0,15.0,7.0,6.0,5.0,2.0,149.0,86.0,77.0,72.0,44.0,42.0,39.0,26.0,39.0,24.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,33.0,38.0,36.0,15.0,18.0,146.0,157.0,77.0,69.0,79.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,37.0,12.0,13.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0
SP1,10/02/13,Ath Bilbao,Espanol,A,Ath Bilbao,14.0,4.0,2.0,5.0,3.0,1.0,2.0,1.0,1.0,3.0,16.0,21.0,9.0,7.0,8.0,13.0,12.0,143.0,188.0,91.0,52.0,80.0,108.0,32.0,84.0,32.0,19.0,34.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,68.0,48.0,24.0,26.0,42.0,142.0,154.0,67.0,75.0,74.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,33.0,20.0,17.0,17.0,15.0,0.0,0.0,1.0,2.0,0.0,1.0,Espanol,9.0,2.0,3.0,6.0,1.0,2.0,3.0,1.0,1.0,3.0,12.0,18.0,7.0,5.0,11.0,7.0,19.0,131.0,151.0,76.0,55.0,80.0,71.0,24.0,63.0,24.0,17.0,33.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,67.0,31.0,17.0,28.0,39.0,194.0,215.0,110.0,84.0,112.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,41.0,19.0,23.0,24.0,15.0,0.0,0.0,3.0,2.0,1.0,1.0
SP1,22/02/13,Ath Bilbao,Sociedad,D,Ath Bilbao,14.0,4.0,2.0,6.0,3.0,1.0,2.0,1.0,1.0,4.0,17.0,26.0,9.0,8.0,8.0,18.0,14.0,154.0,217.0,91.0,63.0,80.0,137.0,32.0,102.0,32.0,20.0,34.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,79.0,48.0,28.0,26.0,53.0,161.0,169.0,67.0,94.0,74.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,34.0,20.0,21.0,17.0,16.0,0.0,0.0,1.0,2.0,0.0,1.0,Sociedad,16.0,5.0,1.0,6.0,4.0,0.0,2.0,1.0,1.0,4.0,16.0,16.0,10.0,6.0,3.0,13.0,11.0,169.0,147.0,98.0,71.0,62.0,85.0,40.0,50.0,40.0,24.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,73.0,55.0,26.0,35.0,38.0,151.0,208.0,78.0,73.0,102.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,40.0,17.0,14.0,18.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
